﻿episode_id,person_id,person_name,episode_count,age,category,char_count,episode_text,episode_type,fact_check_result,group_name,is_group_member,person_type,quality_score,slot,source,tier,week,work_title,generation_timestamp,fame_tier,wikipedia_ja,textbook,award_level,notoriety,fame_score,composite_score,fame_score_updated_at,episode_fame_tier,episode_fame_score,episode_fame_score_updated_at,人生の節目タグ,記憶性スコア,共感性スコア,意外性スコア,生成品質スコア,教育的価値,ストーリー品質,事実密度,category_original,episode_importance_score,is_highlight,highlight_rank,highlight_selection_method,事実密度_float,priority_score,impressiveness_score,年代,episode_fame_score_original,教育的価値_original,ストーリー品質_original,事実密度_original,episode_id_original,surprise_score,name_raw,title,affiliation,display_name_original,generated_at,last_modified
,PC302AD8,伊能忠敬,,72,科学・技術,313,あなたと同じ72歳のとき、伊能忠敬は17年間にわたる全国測量の集大成である『大日本沿海輿地全図』の完成を目前にしていました。しかし、年齢を重ねてもなお精力的に作業を続けていた忠敬の体力は限界に近づいており、この年に病に倒れてしまいます。それでも彼は病床で弟子たちに地図の仕上げ方を細かく指示し続けました。50歳で測量の学問を始め、55歳から蝦夷地の測量に出発した彼の情熱は、最期まで衰えることがありませんでした。彼の遺志を継いだ弟子たちにより、3年後に日本初の実測による精密な日本地図が完成し、江戸幕府に献上されました。晩年まで学び続け、挑戦し続けた忠敬の姿は、年齢に関係なく目標を追求することの尊さを私たちに教えてくれます。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-16 15:20:26,,,,AWARD,,7.0,87.14285714285714,,,7.0,,晩年の挑戦,9.0,8.0,8.5,9.0,8.5,9.0,9.0,科学・技術,,,,,,,,60歳以上,,,,,,,,,,,,
,P0898C9B,葛飾北斎,,76,芸術・文化,305,あなたと同じ76歳のとき、葛飾北斎は代表作『富嶽三十六景』を完成させました。年齢を重ねてもなお、「画狂老人」を名乗り、富士山を題材に46図もの錦絵を世に送り出したのです。特に「神奈川沖浪裏」は、荒々しい波濤と富士山を組み合わせた斬新な構図で、西洋の印象派画家たちにも影響を与えました。北斎は「70歳までの作品は取るに足らない」と語り、75歳を過ぎてようやく生物の本質を描けるようになったと述懐しています。この晩年の傑作は、技術の円熟と衰えぬ創作意欲が結実したものでした。彼は90歳で亡くなる直前まで「あと10年、いや5年あれば真の絵師になれたのに」と語ったと伝えられ、生涯現役を貫いた芸術家の姿を示しています。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-16 15:20:35,,,,AWARD,,7.0,87.14285714285714,,,7.0,,晩年の挑戦,9.0,8.0,8.5,9.0,8.5,9.0,9.0,芸術・文化,,,,,,,,60歳以上,,,,,,,,,,,,
,PCFA4BEC,日野原重明,,78,医学・健康,291,あなたと同じ78歳のとき、日野原重明は聖路加国際病院の院長として、病院改革に情熱を注いでいました。この年、彼は患者中心の医療を実現するため、診察時間を従来の5分から30分に延長するという画期的な取り組みを推進しました。また、予防医学の重要性を説き、生活習慣病という概念を日本に広めることに尽力していました。年齢を重ねてもなお、朝5時に起床し、1日10時間以上働くという驚異的なエネルギーで、医療現場の最前線に立ち続けました。「人生は与えられた時間をどう使うかで決まる」という信念のもと、医学教育や執筆活動にも精力的に取り組み、高齢者こそが社会に貢献できることを自ら体現していました。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-16 15:20:44,,,,AWARD,,7.0,82.14285714285714,,,7.0,,晩年の挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,医学・健康,,,,,,,,60歳以上,,,,,,,,,,,,
,PF35F62B,黒柳徹子,,85,エンターテイメント,309,あなたと同じ85歳のとき、黒柳徹子はユニセフ親善大使として30年以上の活動実績を重ね、世界中の子どもたちのために精力的に活動を続けていました。年齢を重ねてもなお、紛争地域や貧困地域への訪問を続け、その経験を『トットちゃんとトットちゃんたち』などの著書で発信し続けました。テレビ番組『徹子の部屋』も放送開始から40年を超え、同一司会者による最長寿トーク番組としてギネス記録を更新。晩年においても、朝早くから収録に臨み、ゲストの話に真摯に耳を傾ける姿勢は変わらず、「人の話を聞くことは一生の学び」という信念を体現していました。その活力と社会貢献への情熱は、高齢者の可能性を示す象徴として多くの人々に希望を与え続けています。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-16 15:20:52,,,,AWARD,,7.0,87.14285714285714,,,7.0,,晩年の挑戦,9.0,8.0,8.5,9.0,8.5,9.0,9.0,エンターテイメント,,,,,,,,60歳以上,,,,,,,,,,,,
,P4B0C3A0,森光子,,81,エンターテイメント,293,あなたと同じ81歳のとき、森光子は舞台『放浪記』の2000回公演という前人未到の記録を達成しました。1961年の初演から48年間、林芙美子の波乱の生涯を演じ続けた彼女は、この日も舞台上で激しい動きを見せ、観客を魅了しました。年齢を重ねてもなお、毎日のスクワットなどの厳しいトレーニングを欠かさず、舞台に立ち続ける姿勢は多くの人々に感動を与えました。公演後のカーテンコールでは、満場の観客からスタンディングオベーションを受け、「舞台に立てることが何よりの幸せ」と涙ながらに語りました。この偉業は、情熱と努力があれば年齢は決して限界ではないことを証明する、まさに生涯現役の象徴となりました。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-16 15:20:59,,,,AWARD,,7.0,82.14285714285714,,,7.0,,晩年の挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,エンターテイメント,,,,,,,,60歳以上,,,,,,,,,,,,
,P33DB5A0,瀬戸内寂聴,,78,文学,262,あなたと同じ78歳のとき、瀬戸内寂聴は10年の歳月をかけた『源氏物語』全54帖の現代語訳を完成させました。出家後も旺盛な執筆活動を続けていた彼女は、平安の大作に真正面から取り組み、原文の美しさを損なわず現代の読者に届ける翻訳という難事業をやり遂げたのです。完成時には「紫式部と対話しながら訳した」と語り、千年の時を超えた女性作家同士の魂の交流を感じさせました。年齢を重ねてもなお、古典文学への深い造詣と円熟した文章力で、多くの人々に『源氏物語』の世界への扉を開いた功績は、晩年における知的挑戦の素晴らしい実例となっています。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-16 15:21:07,,,,AWARD,,7.0,82.14285714285714,,,7.0,,晩年の挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,文学,,,,,,,,60歳以上,,,,,,,,,,,,
,PEF622C9,ピカソ,,70,芸術・文化,287,あなたと同じ70歳のとき、ピカソは映画監督ジャン・コクトーの依頼を受け、南仏ヴァロリスの礼拝堂に「戦争と平和」の大壁画を制作していました。年齢を重ねてもなお創作意欲は衰えることなく、陶芸や版画など新しい技法にも果敢に挑戦し続けました。この時期、彼は「私は若くなるために長い年月を要した」と語り、晩年になるほど自由で大胆な表現を追求しました。70代のピカソは一日10時間以上アトリエにこもり、まるで時間と競争するかのように膨大な数の作品を生み出し、芸術家としての円熟と革新性を両立させていました。その旺盛な創造力は、年齢という概念を超越した芸術家の可能性を世界に示したのです。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-16 15:21:16,,,,AWARD,,7.0,82.14285714285714,,,7.0,,晩年の挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,芸術・文化,,,,,,,,60歳以上,,,,,,,,,,,,
,PBC4ECE7,黒澤明,,85,映画・演劇,291,あなたと同じ85歳のとき、黒澤明は映画『乱』を完成させ、世界に衝撃を与えました。この壮大なシェイクスピア劇『リア王』の翻案は、製作費が当時の日本映画史上最高額となり、国内での資金調達が困難を極めましたが、黒澤は決して諦めませんでした。フランスのプロデューサー、セルジュ・シルベルマンの支援を得て、ついに実現にこぎつけたのです。年齢を重ねてもなお、権力の虚しさと人間の業を描く情熱は衰えることなく、むしろ晩年の円熟した演出力が作品に深みを与えました。『乱』はカンヌ国際映画祭で絶賛され、アカデミー賞衣装デザイン賞を受賞。80代半ばにして、黒澤は映画人として新たな高みに到達したのです。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-16 15:21:25,,,,AWARD,,7.0,82.14285714285714,,,7.0,,晩年の挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,映画・演劇,,,,,,,,60歳以上,,,,,,,,,,,,
,P7F88681,宮崎駿,,80,アニメ・漫画・ゲーム,277,あなたと同じ80歳のとき、宮崎駿は長編アニメーション映画『君たちはどう生きるか』の制作に取り組んでいました。2013年に『風立ちぬ』公開後、長編映画からの引退を表明したものの、年齢を重ねてもなお創作への情熱は消えることはありませんでした。2016年に引退撤回を宣言し、70代後半から再び新作の制作を開始。手描きアニメーションへのこだわりを貫き、スタジオジブリの若手アニメーターたちと共に、一枚一枚丁寧に絵を描き続けました。晩年に至っても妥協を許さない姿勢は、創造に年齢の限界はないことを示す象徴となり、多くのクリエイターや高齢者に勇気を与え続けています。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-16 15:21:33,,,,AWARD,,7.0,82.14285714285714,,,7.0,,晩年の挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,アニメ・漫画・ゲーム,,,,,,,,60歳以上,,,,,,,,,,,,
,PED05B4D,吉田茂,,84,政治・社会,293,あなたと同じ84歳のとき、吉田茂は戦後日本の歩みを振り返る大著『回想十年』の刊行に情熱を注いでいました。首相退任後も、年齢を重ねてもなお日本の将来を案じ続けた彼は、占領期から講和条約締結までの激動の10年を詳細に記録することで、後世に歴史の教訓を残そうとしました。執筆にあたっては、膨大な資料を読み返し、当時の関係者との対話を重ね、自らの政治判断の意味を丁寧に説明しました。この著作は単なる回顧録ではなく、若い世代への遺言とも言える内容で、「日本の独立と復興」という信念を貫いた政治家の晩年の知恵が凝縮されています。引退後も国家への責任感を失わない姿勢は、多くの人々に感銘を与えました。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-16 15:21:42,,,,AWARD,,7.0,82.14285714285714,,,7.0,,晩年の挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,政治・社会,,,,,,,,60歳以上,,,,,,,,,,,,
