person_id,person_name,category,person_type,is_pure_english,name_type,classification,reason
P710BB63,HIKAKIN,エンターテイメント,REAL,True,artist_name,keep_english,追加維持リストに登録
P6B60577,tofubeats,音楽,REAL,True,artist_name,keep_english,追加維持リストに登録
PD23F10F,hyde,音楽,REAL,True,artist_name,keep_english,GROUP_MEMBER_MAP登録済み（L'Arc~en~Ciel）
PEF7C51E,YOSHIKI,音楽,REAL,True,artist_name,keep_english,GROUP_MEMBER_MAP登録済み（X JAPAN）
P2D81F7D,KREVA,音楽,REAL,True,artist_name,keep_english,追加維持リストに登録
P0DC6425,KOHH,音楽,REAL,True,artist_name,keep_english,追加維持リストに登録
PBBA3C82,KENZO,エンターテイメント,REAL,True,artist_name,keep_english,追加維持リストに登録
PD4151CC,IU,音楽,REAL,True,artist_name,keep_english,追加維持リストに登録
P6C47C66,DJ KRUSH,音楽,REAL,True,artist_name,keep_english,追加維持リストに登録
P98B38C9,DA PUMP,音楽,REAL,True,artist_name,keep_english,追加維持リストに登録
P27E4A44,BAD HOP,音楽,REAL,True,artist_name,keep_english,追加維持リストに登録
P23E5808,Awich,音楽,REAL,True,artist_name,keep_english,追加維持リストに登録
PA5CD967,Ado,音楽,REAL,True,artist_name,keep_english,SOLO_ARTISTS登録済み
PD40ED5D,LiSA,音楽,REAL,True,artist_name,keep_english,追加維持リストに登録
P0690DFD,MIKIKO,エンターテイメント,REAL,True,artist_name,keep_english,追加維持リストに登録
P86032FD,Ayase,音楽,REAL,True,artist_name,keep_english,GROUP_MEMBER_MAP登録済み（YOASOBI）
PFA6C47E,TAKAHIRO,エンターテイメント,REAL,True,artist_name,keep_english,GROUP_MEMBER_MAP登録済み（EXILE）
P9F1B3BE,SAM,エンターテイメント,REAL,True,artist_name,keep_english,追加維持リストに登録
P5FCEEB6,Taka,音楽,REAL,True,artist_name,review_required,英語芸名の可能性（1単語/全大文字）- 要確認
P2BEEF46,Nujabes,音楽,REAL,True,artist_name,keep_english,追加維持リストに登録
P074F209,NIGO,エンターテイメント,REAL,True,artist_name,keep_english,追加維持リストに登録
