person_name,category,person_type,birth_year,death_year
アンドレス・セゴビア,音楽,REAL,2001.0,
エリザベス2世,政治・社会,REAL,1969.0,
オリヴィア・デ・ハヴィランド,映画・演劇,REAL,1927.0,
カーク・ダグラス,映画・演劇,REAL,1926.0,
キャロル・バーネット,エンターテイメント,REAL,1934.0,
クリント・イーストウッド,俳優・女優,REAL,1944.0,
シドニー・ポワチエ,映画・演劇,REAL,1933.0,
ジェームズ・ラブロック,科学・技術,REAL,1934.0,
ジョン・グッドイナフ,科学・技術,REAL,1928.0,
ジョージ・ソロス,ビジネス,REAL,1931.0,
チャーチル,政治・社会,REAL,1960.0,
デヴィッド・アッテンボロー,学術・研究,REAL,1930.0,
トニー・ベネット,音楽,REAL,1932.0,
ノーマン・リア,エンターテイメント,REAL,1933.0,
ハリー・ベラフォンテ,音楽,REAL,1929.0,
パブロ・ピカソ,芸術・文化,REAL,2006.0,
ヘンリー・キッシンジャー,政治・社会,REAL,1931.0,
ボブ・ホープ,エンターテイメント,REAL,1927.0,
ローマ教皇ベネディクト16世,宗教,REAL,1930.0,
千玄室,芸術・文化,REAL,1966.0,
岸恵子,俳優・女優,REAL,1995.0,
平井一夫,ビジネス,REAL,1981.0,
朝比奈隆,音楽,REAL,1965.0,
東山魁夷,芸術・文化,REAL,1975.0,
森光子,俳優・女優,REAL,1978.0,
