person_name,category,person_type,birth_year,death_year
すぎやまこういち,音楽,REAL,1965.0,
アイザック・ニュートン,科学・技術,REAL,1965.0,
アメリア・イアハート,探検・冒険,REAL,1965.0,
アラン・グリーンスパン,ビジネス,REAL,1960.0,
アルゲリッチ,音楽,REAL,2001.0,
アルチュール・ルービンシュタイン,音楽,REAL,1965.0,
アルトゥーロ・トスカニーニ,音楽,REAL,1965.0,
アルフレッド・ノーベル,科学・技術,REAL,1995.0,
アルフレッド・ヒッチコック,映画・演劇,REAL,1959.0,
アレクサンドル・ルカシェンコ,政治・社会,REAL,1958.0,
アントニオ猪木,スポーツ,REAL,1992.0,
アンドリュー・メロン,ビジネス,REAL,1965.0,
アート・ブレイキー,音楽,REAL,1993.0,
アーネスト・ヘミングウェイ,文学,REAL,1964.0,
イアン・マッケラン,映画・演劇,REAL,1965.0,
イェール・ハイエルダール,探検・冒険,REAL,1992.0,
イツハク・ラビン,政治・社会,REAL,1965.0,
イヴ・ギルモ,アニメ・漫画・ゲーム,REAL,1963.0,
ウッドロー・ウィルソン,政治・社会,REAL,1965.0,
エラ・フィッツジェラルド,音楽,REAL,1964.0,
エリック・クラプトン,音楽,REAL,1964.0,
エルトン・ジョン,音楽,REAL,1985.0,
エルンスト・マイヤー,科学・技術,REAL,1965.0,
カラヤン,音楽,REAL,1970.0,
カーネル・サンダース,ビジネス,REAL,1963.0,
カール・セーガン,科学・技術,REAL,1995.0,
カーロス・スリム,ビジネス,REAL,1965.0,
ガイ・カワサキ,ビジネス,REAL,1965.0,
ガンディー,歴史,REAL,1965.0,
キース・リチャーズ,音楽,REAL,1964.0,
コフィー・アナン,政治・社会,REAL,1965.0,
コリン・パウエル,政治・社会,REAL,1960.0,
サティア・ナデラ,ビジネス,REAL,1963.0,
シモン・ペレス,政治・社会,REAL,1960.0,
シャルルマーニュ,歴史,REAL,1963.0,
シャルル・ド・ゴール,政治・社会,REAL,1960.0,
シー・ジンピン,政治・社会,REAL,1960.0,
ジェフリー・カッツェンバーグ,ビジネス,REAL,1965.0,
ジェフ・ベック,音楽,REAL,1959.0,
ジェンスン・ファン,ビジネス,REAL,1956.0,
ジェームズ・ワット,科学・技術,REAL,1995.0,
ジャイアント馬場,スポーツ,REAL,1998.0,
ジャイール・ボルソナロ,政治・社会,REAL,1960.0,
ジャック・シラク,政治・社会,REAL,1960.0,
ジャネット・イエレン,ビジネス,REAL,1960.0,
ジョゼフ・ニーダム,科学・技術,REAL,1965.0,
ジョゼ・サラマーゴ,文学,REAL,1963.0,
ジョン・ケージ,音楽,REAL,1965.0,
ジョン・テンプルトン,ビジネス,REAL,1965.0,
ジョン・ボルトン,政治・社会,REAL,1960.0,
