person_name,category,person_type,birth_year,death_year
きんさんぎんさん,その他,REAL,1943.0,
まど・みちお,文学,REAL,1940.0,
アルチュール・ルービンシュタイン,音楽,REAL,1936.0,
エルトン・ジョン,音楽,REAL,1938.0,
オスカー・ワイルド,文学,REAL,1944.0,
カーネル・サンダース,ビジネス,REAL,1938.0,
ジミー・カーター,政治・社会,REAL,1942.0,
ジョン・ケージ,音楽,REAL,1945.0,
ソニー・ロリンズ,音楽,REAL,1944.0,
ダライ・ラマ14世,宗教,REAL,1936.0,
バフェット,ビジネス,REAL,1942.0,
バーバラ・マクリントック,学術・研究,REAL,1944.0,
パブロ・カザルス,音楽,REAL,1944.0,
ピカソ,芸術・文化,REAL,1940.0,
ペンローズ,学術・研究,REAL,1936.0,
ホロヴィッツ,音楽,REAL,1942.0,
マザー・テレサ,宗教,REAL,1938.0,
ヴラディーミル・ホロヴィッツ,音楽,REAL,1942.0,
三浦雄一郎,探検・冒険,REAL,1940.0,
三谷幸喜,芸術・文化,REAL,1937.0,
井上朋子,芸術・文化,REAL,1939.0,
倉本聰,映画・演劇,REAL,1937.0,
北原義昭,芸術・文化,REAL,1945.0,
北島三郎,音楽,REAL,1945.0,
千玄室,芸術・文化,REAL,1945.0,
大村智,科学・技術,REAL,1945.0,
宮崎駿,アニメ・漫画・ゲーム,REAL,1943.0,
宮脇咲良,ビジネス,REAL,1936.0,
小澤征爾,音楽,REAL,1945.0,
山海嘉之,科学・技術,REAL,1937.0,
山田洋次,映画・演劇,REAL,1945.0,
幸田露伴,文学,REAL,1936.0,
教皇フランシスコ,政治・社会,REAL,1941.0,
朝永振一郎,科学・技術,REAL,1944.0,
木村拓哉,エンターテイメント,REAL,1944.0,
村上春樹,学術・研究,REAL,1944.0,
松下幸之助,ビジネス,REAL,1942.0,
松岡修造,スポーツ,REAL,1942.0,
梅宮辰夫,俳優・女優,REAL,1944.0,
森繁久彌,芸術・文化,REAL,1945.0,
植田直通,スポーツ,REAL,1942.0,
毒蝮三太夫,エンターテイメント,REAL,1945.0,
