person_name,category,person_type,birth_year,death_year
きんさんぎんさん,その他,REAL,1947.0,
まど・みちお,文学,REAL,1940.0,
アルチュール・ルービンシュタイン,音楽,REAL,1965.0,
エルトン・ジョン,音楽,REAL,1985.0,
オスカー・ワイルド,文学,REAL,2000.0,
カーネル・サンダース,ビジネス,REAL,1963.0,
ジミー・カーター,政治・社会,REAL,1947.0,
ジョン・ケージ,音楽,REAL,1965.0,
ソニー・ロリンズ,音楽,REAL,1977.0,
ダライ・ラマ14世,宗教,REAL,2010.0,
バフェット,ビジネス,REAL,1985.0,
バーバラ・マクリントック,学術・研究,REAL,1944.0,
パブロ・カザルス,音楽,REAL,1960.0,
ピカソ,芸術・文化,REAL,1955.0,
ペンローズ,学術・研究,REAL,1936.0,
ホロヴィッツ,音楽,REAL,1942.0,
マザー・テレサ,宗教,REAL,1985.0,
ヴラディーミル・ホロヴィッツ,音楽,REAL,1942.0,
三浦雄一郎,探検・冒険,REAL,1952.0,
三谷幸喜,芸術・文化,REAL,1969.0,
井上朋子,芸術・文化,REAL,1957.0,
倉本聰,映画・演劇,REAL,1967.0,
北原義昭,芸術・文化,REAL,1963.0,
北島三郎,音楽,REAL,1956.0,
千玄室,芸術・文化,REAL,1966.0,
