person_name,category,person_type,birth_year,death_year
ASKA,音楽,REAL,1975.0,
Activision・Bobby Kotick,アニメ・漫画・ゲーム,REAL,1967.0,
B.F.スキナー,科学・技術,REAL,1975.0,
Bethesda・Todd Howard,アニメ・漫画・ゲーム,REAL,1973.0,
J・R・R・トールキン,文学,REAL,1975.0,
Mr.マリック,エンターテイメント,REAL,1975.0,
Rintaro,アニメ・漫画・ゲーム,REAL,1975.0,
Robert Davis,科学・技術,REAL,1973.0,
Thomas White,科学・技術,REAL,1975.0,
Valve・Gabe Newell,アニメ・漫画・ゲーム,REAL,1970.0,
ufotable・近藤光,アニメ・漫画・ゲーム,REAL,1970.0,
さいとうたかを,芸術・文化,REAL,1975.0,
みうらじゅん,エンターテイメント,REAL,1975.0,
もたいまさこ,映画・演劇,REAL,1973.0,
やなせたかし,アニメ・漫画・ゲーム,REAL,1975.0,
アイザック・バシェビス・シンガー,文学,REAL,1971.0,
アイ・ウェイウェイ,芸術・文化,REAL,1975.0,
アウンサンスーチー,政治・社会,REAL,1970.0,
アガサ・クリスティ,芸術・文化,REAL,1975.0,
アシュケナージ,音楽,REAL,1975.0,
アストル・ピアソラ,音楽,REAL,1970.0,
アダム・スミス,学術・研究,REAL,1972.0,
アッバス・キアロスタミ,映画・演劇,REAL,1973.0,
アニー・スミス・ペック,探検・冒険,REAL,1967.0,
アニー・プルー,文学,REAL,1970.0,
アバド,音楽,REAL,1969.0,
アビゲイル・ジョンソン,ビジネス,REAL,1975.0,
アラン・ケイ,科学・技術,REAL,1970.0,
アリアナ・ハフィントン,政治・社会,REAL,1975.0,
アルバート・サビン,科学・技術,REAL,1970.0,
アルフレッド・ウェーゲナー,探検・冒険,REAL,1975.0,
アルフレッド・ステーグリッツ,芸術・文化,REAL,1975.0,
アルフレッド・ノーベル,科学・技術,REAL,1975.0,
アルフレッド・ヒッチコック,エンターテイメント,REAL,1975.0,
アル・ゴア,政治・社会,REAL,1973.0,
アンゲラ・メルケル,政治・社会,REAL,1972.0,
アンディ・ウォーホル,芸術・文化,REAL,1970.0,
アンディ・ジャシー,ビジネス,REAL,1975.0,
アントニオ・ダマシオ,学術・研究,REAL,1975.0,
アントニ・ガウディ,芸術・文化,REAL,1975.0,
アンドリュー・カーネギー,ビジネス,REAL,1975.0,
アンドレ・アガシ,スポーツ,REAL,1971.0,
アンリ・マティス,芸術・文化,REAL,1975.0,
アーノルド・シュワルツェネッガー,エンターテイメント,REAL,1970.0,
イサク・ディネーセン,文学,REAL,1975.0,
イサベル・アジェンデ,文学,REAL,1975.0,
イタロ・カルヴィーノ,文学,REAL,1975.0,
イツァーク・パールマン,音楽,REAL,1975.0,
イドリス・エルバ,映画・演劇,REAL,1975.0,
イマニュエル・カント,学術・研究,REAL,1975.0,
