person_name,category,person_type,birth_year,death_year
AKIRA,エンターテイメント,REAL,1993.0,
Aimyon,音楽,REAL,2005.0,
Amanda Clark,科学・技術,REAL,1986.0,
Awich,音楽,REAL,1993.0,
Ayase,音楽,REAL,2000.0,
Beyoncé,エンターテイメント,REAL,1990.0,
CLAMP,アニメ・漫画・ゲーム,REAL,1990.0,
DJ KRUSH,音楽,REAL,1993.0,
DJ社長,エンターテイメント,REAL,1993.0,
"Dwayne ""The Rock"" Johnson",エンターテイメント,REAL,1987.0,
D・H・ロレンス,文学,REAL,1990.0,
Fukase,音楽,REAL,2005.0,
F・スコット・フィッツジェラルド,文学,REAL,1995.0,
HEATH,音楽,REAL,2005.0,
HISASHI,音楽,REAL,2005.0,
Hergé,アニメ・漫画・ゲーム,REAL,1987.0,
INORAN,音楽,REAL,2005.0,
J,音楽,REAL,2005.0,
J.D.サリンジャー,芸術・文化,REAL,1993.0,
JIRO,音楽,REAL,2005.0,
JUJU,音楽,REAL,1990.0,
Jessica Taylor,科学・技術,REAL,1988.0,
J・D・サリンジャー,文学,REAL,1990.0,
J・K・ローリング,文学,REAL,1990.0,
MIKIKO,エンターテイメント,REAL,1989.0,
Madonna,エンターテイメント,REAL,1990.0,
NIGO,エンターテイメント,REAL,1995.0,
Notch,アニメ・漫画・ゲーム,REAL,1993.0,
OKAMA,アニメ・漫画・ゲーム,REAL,1990.0,
ONE,アニメ・漫画・ゲーム,REAL,1995.0,
PATA,音楽,REAL,2005.0,
Prince,音楽,REAL,1990.0,
SADS,音楽,REAL,1993.0,
SAM,エンターテイメント,REAL,1995.0,
SUGIZO,音楽,REAL,2005.0,
Shakira,音楽,REAL,1993.0,
TAKURO,音楽,REAL,2005.0,
THE BLUE HEARTS,音楽,REAL,1990.0,
TKO・木下隆行,エンターテイメント,REAL,1990.0,
TKO・木本武宏,エンターテイメント,REAL,1990.0,
TMN・木根尚登,音楽,REAL,1995.0,
Toshl,音楽,REAL,2005.0,
UA,音楽,REAL,1995.0,
ken,エンターテイメント,REAL,1990.0,
あかほりさとる,アニメ・漫画・ゲーム,REAL,1987.0,
おかずクラブ,エンターテイメント,REAL,1990.0,
きくちゆうき,アニメ・漫画・ゲーム,REAL,1995.0,
きゃりーぱみゅぱみゅ,音楽,REAL,1994.0,
さかなクン,学術・研究,REAL,1990.0,
さだまさし,音楽,REAL,1995.0,
そらる,エンターテイメント,REAL,1995.0,
つかこうへい,映画・演劇,REAL,1990.0,
つの丸,アニメ・漫画・ゲーム,REAL,1995.0,
つるの剛士,エンターテイメント,REAL,1987.0,
つんく,エンターテイメント,REAL,1993.0,
つんく♂,エンターテイメント,REAL,1990.0,
てつや,エンターテイメント,REAL,2001.0,
ときど,アニメ・漫画・ゲーム,REAL,1993.0,
はじめしゃちょー,エンターテイメント,REAL,1994.0,
ひろゆき,エンターテイメント,REAL,1987.0,
ふ〜ど,スポーツ,REAL,1992.0,
ほっしゃん。,エンターテイメント,REAL,1990.0,
みのもんた,エンターテイメント,REAL,2000.0,
もこう,アニメ・漫画・ゲーム,REAL,1995.0,
ゆでたまご,アニメ・漫画・ゲーム,REAL,1995.0,
アイザック・アシモフ,文学,REAL,1983.0,
アイルトン・セナ,スポーツ,REAL,1995.0,
アインシュタイン,学術・研究,REAL,1983.0,
アイン・ランド,文学,REAL,1987.0,
アクセル・ローズ,音楽,REAL,1995.0,
アジャコング,スポーツ,REAL,2000.0,
アスカ,スポーツ,REAL,1988.0,
アダム・ギルクライスト,スポーツ,REAL,1993.0,
アダム・スコット,スポーツ,REAL,1992.0,
アッシャー,音楽,REAL,1995.0,
アデル,エンターテイメント,REAL,2006.0,
アドリアン・ド・ゲルラシュ,探検・冒険,REAL,1993.0,
アナイス・ニン,芸術・文化,REAL,1990.0,
アナ・ヴィンター,政治・社会,REAL,1987.0,
アニタ・ベイカー,音楽,REAL,1995.0,
アニー・レノックス,音楽,REAL,1987.0,
アバ,音楽,REAL,1997.0,
アボガドロ,科学・技術,REAL,1987.0,
アマンシオ・オルテガ,ビジネス,REAL,1985.0,
アラニス・モリセット,音楽,REAL,1993.0,
アラン・ケイ,科学・技術,REAL,1970.0,
アラン・シェパード,探検・冒険,REAL,1995.0,
アラン・チューリング,学術・研究,REAL,2001.0,
アラン・ムーア,芸術・文化,REAL,1983.0,
アラン・レネ,芸術・文化,REAL,1987.0,
アリアナ・グランデ,エンターテイメント,REAL,2000.0,
アリソン・フェリックス,スポーツ,REAL,1994.0,
アリ・パルトビ,ビジネス,REAL,1990.0,
アルバート・シュバイツァー,探検・冒険,REAL,1987.0,
アルフォンス・ミュシャ,芸術・文化,REAL,1990.0,
アルフォンソ・キュアロン,映画・演劇,REAL,1994.0,
アルフレッド・ウェゲナー,学術・研究,REAL,1990.0,
アルフレッド・ウォレス,科学・技術,REAL,1990.0,
アルフレッド・ウォーレス,探検・冒険,REAL,1990.0,
アルフレッド・ノーベル,科学・技術,REAL,1995.0,
