person_name,category,person_type,birth_year,death_year
CHAGE,音楽,REAL,1985.0,
C・S・ルイス,文学,REAL,1980.0,
Daniel Rodriguez,科学・技術,REAL,1976.0,
David Thompson,科学・技術,REAL,1979.0,
Emily Garcia,科学・技術,REAL,1983.0,
Francis Fukuyama,学術・研究,REAL,1980.0,
HIRO,エンターテイメント,REAL,1983.0,
IKKO,エンターテイメント,REAL,1980.0,
J.K.ローリング,文学,REAL,1994.0,
JPモルガン・ジュニア,ビジネス,REAL,1980.0,
James Miller,科学・技術,REAL,1978.0,
Lisa Anderson,科学・技術,REAL,1981.0,
MISIA,音楽,REAL,1977.0,
Marcin Iwiński,アニメ・漫画・ゲーム,REAL,1977.0,
Mark Brown,科学・技術,REAL,1977.0,
Michael Johnson,科学・技術,REAL,1982.0,
Michelle Martin,科学・技術,REAL,1982.0,
Sarah Wilson,科学・技術,REAL,1984.0,
Shelly,エンターテイメント,REAL,2000.0,
WIT STUDIO・和田丈嗣,アニメ・漫画・ゲーム,REAL,1977.0,
W・サマセット・モーム,文学,REAL,1984.0,
imase,音楽,REAL,1985.0,
あき竹城,エンターテイメント,REAL,1977.0,
いとうあさこ,エンターテイメント,REAL,2000.0,
いとうせいこう,芸術・文化,REAL,1981.0,
いわさきちひろ,芸術・文化,REAL,1985.0,
おすぎ,エンターテイメント,REAL,2000.0,
おネエMANS,エンターテイメント,REAL,1985.0,
からくり儀右衛門,科学・技術,REAL,1985.0,
きっと松本,エンターテイメント,REAL,1983.0,
くっきー,エンターテイメント,REAL,1985.0,
さんま,エンターテイメント,REAL,1985.0,
たかし,エンターテイメント,REAL,1985.0,
ちきりん,ビジネス,REAL,1980.0,
つげ義春,芸術・文化,REAL,1985.0,
つまみ枝豆,エンターテイメント,REAL,1980.0,
はるな愛,エンターテイメント,REAL,2000.0,
みのもんた,エンターテイメント,REAL,2000.0,
やくざ映画,音楽,REAL,1985.0,
やくざ映画・高倉健,エンターテイメント,REAL,1985.0,
やなぎみわ,芸術・文化,REAL,1976.0,
ゆうこす,エンターテイメント,REAL,1985.0,
よしもとばなな,文学,REAL,1985.0,
アイザック・アシモフ,芸術・文化,REAL,1983.0,
アイザック・スターン,音楽,REAL,1985.0,
アイザック・ニュートン,科学・技術,REAL,1965.0,
アイヴァン・サザランド,科学・技術,REAL,1985.0,
アウグスティヌス,歴史,REAL,1980.0,
アウグスト・フィック,探検・冒険,REAL,1985.0,
アウンサンスーチー,政治・社会,REAL,1982.0,
