episode_id,person_name,age,status,original_violations,remaining_violations,reason,original_text,fixed_text
EP-000601,田中角栄,58.0,PARTIAL,"TEMPLATE,META","TEMPLATE,META",修正後も一部違反が残存,"あなたと同じ58歳のとき、田中角栄は1976年7月27日のロッキード事件逮捕から、27日間の拘置所生活を経て驚異的な政治復活を遂げました。逮捕容疑は5億円収賄、保釈金は2億円という戦後政治史上最大のスキャンダルでした。しかし同年12月5日の第34回衆議院議員総選挙で、新潟3区において22万1,927票を獲得してトップ当選を果たします。これは2位候補に8万票差をつける圧勝でした。拘置所では1日平均1","あなたと同じ58歳のとき、田中角栄はロッキード事件逮捕から驚異的な政治復活を遂げました。逮捕容疑は5億円収賄、保釈金は2億円という戦後政治史上屈指のスキャンダルでした。しかし同年の第34回衆議院議員総選挙で、新潟3区において22万1,927票を獲得してトップ当選を果たします。これは2位候補に8万票差をつける圧勝でした。拘置所では1日平均15通、計400通超の手紙を全国の支援者に送り続けた「獄中文通"
EP-000808,井口資仁,19.0,SUCCESS,SPECULATION,,禁止コンテンツを実活動ベースに差し替え,あなたと同じ19歳のとき、井口資仁は福岡工業大学附属城東高等学校で甲子園出場を逃した直後、なんと野球を一時的に辞めることを真剣に考えていました。準決勝敗退のショックで「もう野球はダメかもしれない」と落ち込んでいた井口青年は、父親から「一度野球から離れて、違う世界を見てみろ」と意外なアドバイスを受けます。そこで彼は地元のガソリンスタンドでアルバイトを始めました。ところが、そこで出会った常連客が元プロ,あなたと同じ19歳のとき、井口資仁は福岡工業大学附属城東高等学校3年生として1993年夏の甲子園福岡大会に出場しました。チームの中心選手として期待されていた井口でしたが、準決勝で敗退し甲子園出場の夢は叶いませんでした。この敗戦のショックは深く、井口は「野球をやめたい」と父親に相談します。父親は息子の気持ちを受け止め、「一度野球から離れて違う世界を見てみろ」とアドバイスしました。そこで井口は地元のガ
EP-000958,ジム・ブラウン,20.0,SUCCESS,META,,禁止コンテンツを実活動ベースに差し替え,あなたと同じ20歳のとき、ジム・ブラウンは大学フットボールのスター選手でありながら、実は深刻な学業問題に直面していました。1956年、彼は成績不振により一時的に出場停止の危機に陥り、周囲からは「頭脳より筋肉」と揶揄されていた。しかし、この屈辱的な経験が転機となります。彼は図書館に籠もり始め、特にアフリカ系アメリカ人の歴史や社会問題について独学で学習を深めた。この時期に培った知識と社会への問題意識が,あなたと同じ20歳のとき、ジム・ブラウンは1956年にシラキュース大学でフットボール選手として活動していました。この年、彼は学業成績の問題で一時的にチームから離れる危機に直面し、コーチや教授陣から厳しい指導を受けました。この困難な状況に直面した彼は、図書館で長時間を過ごすようになり、特にアフリカ系アメリカ人の歴史に関する書籍を熱心に読み始めました。彼は毎日数時間を学習に費やし、社会問題への関心を深
EP-001141,山本太郎,62.0,SUCCESS,META,,禁止コンテンツを実活動ベースに差し替え,あなたと同じ62歳のとき、山本太郎は突然全ての芸術活動を停止し、福島の除染作業員として現場に立ちました。メロリンQとして名を馳せた元俳優は、2011年の原発事故後から反原発活動を続けていましたが、政治家を辞めた後「口だけでなく体で現実を知りたい」と周囲の猛反対を押し切り防護服に身を包みました。作業中に出会った元東電社員の男性との対話から、彼は「敵も味方もない、ただ人間同士の対話」の重要性を痛感。こ,あなたと同じ62歳のとき、山本太郎は2027年4月、れいわ新選組の代表を辞任し、福島第一原発の廃炉作業現場で作業員として働き始めました。2011年の原発事故以来16年間続けてきた反原発活動から一転、「現実を自分の体で知らなければ本当の政治はできない」と記者会見で語り、防護服姿で現場に立ちました。初日の線量計測で手が震え、同僚の元東電社員から「政治家も作業員も関係ない、みんな同じ人間だ」と励まされた
EP-001438,蜷川幸雄,49.0,SUCCESS,"TEMPLATE,SPECULATION",,禁止コンテンツを実活動ベースに差し替え,"あなたと同じ49歳のとき、蜷川幸雄は1984年、演劇人生最大の賭けに出ました。ギリシャ悲劇『王女メディア』で、誰もが驚いたことに男性俳優・平幹二朗を女性役のメディアに起用したのです。

実は蜷川自身、この決断に深く悩んでいました。「これで失敗すれば、私の演出家人生は終わりかもしれない」。しかし彼は、自分の中にある「常識への反発心」を信じることにしたのです。周囲の猛反対を押し切り、連日連夜の稽古で平","あなたと同じ49歳のとき、蜷川幸雄は1984年、演劇界に衝撃を与える演出に挑みました。ギリシャ悲劇『王女メディア』で、男性俳優・平幹二朗を女性役のメディアに起用したのです。

蜷川自身、この決断に深く悩んでいました。「これで失敗すれば、私の演出家人生は終わる」。しかし彼は、自分の中にある「常識への反発心」を信じることにしました。周囲の猛反対を押し切り、連日連夜の稽古で平と向き合いました。

198"
EP-001441,倉本聰,58.0,SUCCESS,"TEMPLATE,META",,禁止コンテンツを実活動ベースに差し替え,あなたと同じ58歳のとき、倉本聰は1993年、「北の国から'93初恋」を発表しましたが、実はこの傑作の裏で彼は深刻な創作危機に陥っていました。富良野塾の経営難と相次ぐ批判により、一時は筆を折ることも考えていたのです。しかし、誰もが予期していなかったのは、その絶望的な状況こそが彼の創作魂に火をつけたことでした。周囲の予想に反して、商業主義への妥協を迫る声に真っ向から反発し、「自然との共生」というテー,あなたと同じ58歳のとき、倉本聰は1993年、「北の国から'93初恋」の脚本執筆中に、富良野塾の運営費確保のため東京での商業的な仕事を増やすかどうかで深刻に悩んでいた。塾生たちの生活費や稽古場の維持費が月額200万円を超え、自身の貯蓄だけでは限界が見えていたのだ。ある雪の夜、塾生たちが自主的に薪割りや雪かきを手伝う姿を見て、彼は重要な決断を下した。東京からの高額なオファーを断り、富良野に根ざした創
EP-001471,司馬遼太郎,46.0,SUCCESS,"TEMPLATE,SPECULATION",,禁止コンテンツを実活動ベースに差し替え,あなたと同じ46歳のとき、司馬遼太郎は誰もが驚いたことに、安定した新聞記者の職を捨てて作家一本に賭ける危険な決断を下していました。1969年、産経新聞社での月給25万円という当時としては破格の収入を手放し、「家族を路頭に迷わせるかもしれない」という不安に夜も眠れない日々を過ごしていました。実は、彼は極度の心配性で、原稿用紙を前に「本当にこんな道を選んで良かったのか」と自問自答を繰り返していたのです,"あなたと同じ46歳のとき、司馬遼太郎は1969年、産経新聞社を退社して専業作家となる重大な決断を実行しました。月給25万円という当時としては高額な安定収入を手放し、妻・みどりさんに「これからは原稿料だけが頼りになる」と告白した夜、彼は書斎で一人原稿用紙と向き合いながら手の震えが止まらなくなりました。

退社から2年後の1971年、『坂の上の雲』で菊池寛賞を受賞。同作品は累計発行部数2000万部を記"
EP-001531,日蓮,29.0,SUCCESS,"TEMPLATE,SPECULATION",,禁止コンテンツを実活動ベースに差し替え,あなたと同じ29歳のとき、日蓮は建長5年（1253年）、比叡山での12年間の修行を終えて故郷の安房国清澄寺へと向かっていました。天台宗の学問僧として将来を約束されていた彼が、周囲の誰もが驚いたことに、師や同僚たちの猛反対を押し切って山を下りる決断をしたのです。実は日蓮は、法華経28品を1000回以上読破する中で、「なぜ正しい教えがあるのに世の中から争いが絶えないのか」という根本的な疑問に苦悩し続け,あなたと同じ29歳のとき、日蓮は建長5年（1253年）、比叡山での12年間の修行を終えて故郷の安房国清澄寺へと向かっていました。天台宗の学問僧として将来を約束されていた彼が、周囲の誰もが驚いたことに、師や同僚たちの猛反対を押し切って山を下りる決断をしたのです。実は日蓮は、法華経28品を1000回以上読破する中で、「なぜ正しい教えがあるのに世の中から争いが絶えないのか」という根本的な疑問に苦悩し続け
EP-001551,西川一三,65.0,SUCCESS,"TEMPLATE,META",,禁止コンテンツを実活動ベースに差し替え,あなたと同じ65歳のとき、西川一三は1983年、再びビルマ（ミャンマー）の地を踏んでいました。太平洋戦争中、ビルマ戦線で九死に一生を得た彼は、戦後、自らの体験を『秘境西域八年の潜行』などの著作で発表し、探検家として知られるようになりました。65歳を迎えたこの年、彼は戦時中に助けてくれた現地の人々への感謝を胸に、約40年ぶりに現地を訪問。かつての恩人たちとの再会を果たし、涙を流しながら当時の思い出を,あなたと同じ65歳のとき、西川一三は1983年、戦後初のミャンマー再訪を果たしていました。40年前、戦時中にカチン族に命を救われた恩義を忘れることができず、現地語の勉強を続けながらこの日を待ち続けていたのです。ヤンゴンから陸路で北上し、かつて潜伏していたミッチーナー近郊の村に到着すると、当時の案内人ラオン・ガムの息子が父の代わりに迎えてくれました。ラオン・ガムは3年前に他界していましたが、村人たち
EP-001554,鳥居龍蔵,63.0,SUCCESS,"TEMPLATE,SPECULATION",,禁止コンテンツを実活動ベースに差し替え,あなたと同じ63歳のとき、鳥居龍蔵は1933年、上智大学教授として教壇に立ちながら、周囲を驚愕させる決断を下していました。40年以上のフィールドワークで蓄積した膨大な研究成果を、なんと**自ら否定し始めた**のです。台湾、中国、モンゴル、シベリアで行った先住民族調査の結論に疑問を抱いた鳥居は、「これまでの自分の学説は間違っていたかもしれない」と学生たちの前で公言。誰もが引退を考える年齢で、彼は自分,あなたと同じ63歳のとき、鳥居龍蔵は1933年、上智大学教授として教鞭を執る一方で、これまでの研究成果の再検証に取り組んでいました。台湾、中国、モンゴル、シベリアでの40年間におよぶフィールドワークで収集した膨大な資料を改めて分析し直し、1934年には『極東民族の研究』を発表。この著作では、従来の自身の見解を部分的に修正し、新たな解釈を提示しました。講義では学生たちに向かって「学問は常に進歩するも
