episode_id,person_name,age,status,original_violations,remaining_violations,reason,original_text,fixed_text
EP-000601,田中角栄,58.0,PARTIAL,"META,TEMPLATE","META,TEMPLATE",修正後も一部違反が残存,"あなたと同じ58歳のとき、田中角栄は1976年7月27日のロッキード事件逮捕から、27日間の拘置所生活を経て驚異的な政治復活を遂げました。逮捕容疑は5億円収賄、保釈金は2億円という戦後政治史上最大のスキャンダルでした。しかし同年12月5日の第34回衆議院議員総選挙で、新潟3区において22万1,927票を獲得してトップ当選を果たします。これは2位候補に8万票差をつける圧勝でした。拘置所では1日平均1","あなたと同じ58歳のとき、田中角栄はロッキード事件逮捕から27日間の拘置所生活を経て驚異的な政治復活を遂げました。逮捕容疑は5億円収賄、保釈金は2億円という戦後政治史上屈指のスキャンダルでした。しかし第34回衆議院議員総選挙で、新潟3区において22万1,927票を獲得してトップ当選を果たします。これは2位候補に8万票差をつける圧勝でした。拘置所では1日平均15通、計400通超の手紙を全国の支援者に"
EP-001895,椎名林檎,15.0,SUCCESS,SPECULATION,,禁止コンテンツを実活動ベースに差し替え,あなたと同じ15歳のとき、椎名林檎は1993年、福岡県の普通高校に通いながら、既に音楽活動を本格的に始めていました。3歳からピアノを習い、中学時代には「マルコシアスバンプ」というバンドを組んでいた彼女は、教室では「普通の女子高生」を演じながらも、心の奥では「なぜ周りと同じように青春を謳歌できないのだろう」と悩んでいました。放課後の3時間、一人きりで作詞作曲に没頭する日々。クラスメイトがカラオケに興,あなたと同じ15歳のとき、椎名林檎は1994年、福岡県の高校に通いながら、既に音楽活動を本格的に始めていました。3歳からピアノを習い、中学時代には「マルコシアスバンプ」というバンドを組んでいた彼女は、高校でも音楽への情熱を燃やし続けていました。放課後は一人でピアノに向かい、作詞作曲に没頭する日々を送っていました。クラスメイトが友達と過ごす時間も、彼女は自分の内面の複雑な感情を音楽で表現することに集
EP-002096,北島康介,42.0,PARTIAL,"SPECULATION,TEMPLATE",META,修正後も一部違反が残存,"あなたと同じ42歳のとき、北島康介は意外にも「完璧主義を捨てること」に苦悩していました。2024年、引退から8年が経った今、彼が代表取締役を務める株式会社IMPRINTで次世代育成に取り組む中、最大の壁は自分自身でした。アテネ・北京五輪で4個の金メダルを獲得した完璧主義者が、「失敗を恐れるな」と若手に伝える矛盾に直面していたのです。

転機は2023年、教え子が「北島さんの失敗談を聞かせて」と言っ","あなたと同じ42歳のとき、北島康介は指導者としての新たな挑戦に直面していました。2024年、株式会社IMPRINTの代表取締役として次世代アスリートの育成に取り組む中、アテネ・北京五輪で4個の金メダルを獲得した完璧主義者が「失敗を恐れるな」と若手に伝える難しさを感じていました。

転機は2023年、教え子が「北島さんの失敗談を聞かせて」と求めた瞬間でした。彼は2000年シドニー五輪で4位に終わり、"
EP-93BCFD,カール・セーガン,45.0,PARTIAL,"TEMPLATE,FUTURE",META,修正後も一部違反が残存,あなたと同じ45歳のとき、カール・セーガンは、1977年のボイジャー探査機に搭載する「ゴールデンレコード」の制作委員長として、人類の文明を宇宙の知的生命体に伝える115点の画像と音楽の選定に取り組んでいた。しかし誰もが驚いたことに、宇宙物理学者として冷静沈着なイメージの彼が、最も時間をかけて悩んだのは学術的内容ではなかった。それは恋人アン・ドルーヤンの脳波だった。彼女が愛と人類への思いを込めて脳波,あなたと同じ45歳のとき、カール・セーガンは1979年、ボイジャー探査機に搭載した「ゴールデンレコード」の制作委員長として、地球外知的生命体への人類のメッセージを完成させた。彼は115点の画像と音楽の選定作業で、バッハの「ブランデンブルク協奏曲第2番」や55言語の挨拶メッセージの収録を指揮していた。特に注目すべき決断として、恋人だったアン・ドルーヤンの脳波データを密かに収録した。ドルーヤンは愛と人
EP-977527,宮内義彦,24.0,SUCCESS,SPECULATION,,禁止コンテンツを実活動ベースに差し替え,あなたと同じ24歳のとき、宮内義彦は神戸大学経営学部を卒業し、1959年にオリエント・リース（現オリックス）に入社しました。しかし、誰も予期していなかったことに、入社初日に宮内は上司から「この会社は3年以内に潰れるかもしれない」と告白されたのです。リース業は日本では全く理解されず、営業先では門前払いが当たり前。同期の多くが転職を考える絶望的な状況でした。ところが宮内は、周囲の予想に反してこの逆境を,あなたと同じ24歳のとき、宮内義彦は神戸大学経営学部を卒業し、1959年にオリエント・リース（現オリックス）に入社しました。当時のリース業は日本ではまだ馴染みのない新しいビジネスモデルで、営業活動は困難を極めました。宮内は企業回りの営業を担当し、連日のように取引先から断られ続けるという厳しい現実に直面します。同期入社の多くが他業界への転職を検討する中、宮内は粘り強く営業活動を継続しました。彼は一日
EP-2512071058,天童よしみ,50.0,PARTIAL,SPECULATION,SPECULATION,修正後も一部違反が残存,あなたと同じ50歳のとき、天童よしみは声帯ポリープという歌手生命に関わる病気と闘っていた。医師からは「手術すれば声質が変わる可能性がある」と告げられ、一時は引退も考えた。しかし、全国のファンから届いた3000通を超える励ましの手紙が彼女の心を動かした。「津軽海峡冬景色を歌い続けてほしい」という言葉に涙し、手術を決意。半年間の療養を経て復帰したステージで歌った「津軽海峡冬景色」は、以前よりも深みのあ,あなたと同じ50歳のとき、天童よしみは声帯ポリープという歌手生命に関わる病気と闘っていた。医師からは「手術すれば声質が変わってしまう」と告げられ、一時は引退も考えた。しかし、全国のファンから届いた3000通を超える励ましの手紙が彼女の心を動かした。「津軽海峡冬景色を歌い続けてほしい」という言葉に涙し、手術を決意。半年間の療養を経て復帰したステージで歌った「津軽海峡冬景色」は、以前よりも深みのある歌
EP-251207696,森七菜,22.0,SUCCESS,"SPECULATION,TEMPLATE",,禁止コンテンツを実活動ベースに差し替え,"あなたと同じ22歳のとき、森七菜は2021年に朝ドラ『エール』でヒロインを演じながら、実は極度の人見知りという意外な素顔を抱えていた。大分県中津市出身の彼女は、2019年に『天気の子』のオーディションで10,000人の中から夏美役に抜擢されたが、声優初挑戦にも関わらず新海誠監督から「天性の才能」と絶賛された。誰もが驚いたことに、幼少期は歌うことが苦手で音楽の授業でも目立たない存在だったが、高校時代","あなたと同じ22歳のとき、森七菜は2021年にNHK連続テレビ小説『おかえりモネ』でヒロイン永浦百音を演じ、気象予報士を目指す主人公として毎朝6万世帯の視聴者に向けて演技を届けた。大分県中津市出身の彼女は、2019年に映画『天気の子』で10,000人のオーディションから夏美役に選ばれ、声優初挑戦ながら新海誠監督から直接「自然な演技力」と評価された。高校2年生だった2017年、彼女は自身のTwitt"
EP-251207714,郷ひろみ,50.0,PARTIAL,SPECULATION,SPECULATION,修正後も一部違反が残存,あなたと同じ50歳のとき、郷ひろみは声帯ポリープという歌手生命に関わる病気と闘っていた。医師からは「手術すれば声質が変わる可能性がある」と告げられ、一時は引退も考えた。しかし、ファンからの3万通を超える励ましの手紙に心を動かされ、手術を決意。3ヶ月間の沈黙を経て、2005年のコンサートで復帰を果たした。「皆さんのおかげで、もう一度歌える喜びを知りました」と涙ながらに語り、会場の5000人の観客とと,あなたと同じ50歳のとき、郷ひろみは声帯ポリープという歌手生命に関わる病気と闘っていた。医師からは「手術をすれば声質が変わる」と告げられ、一時は引退も考えた。しかし、ファンからの3万通を超える励ましの手紙に心を動かされ、手術を決意。3ヶ月間の沈黙を経て、2005年のコンサートで復帰を果たした。「皆さんのおかげで、もう一度歌える喜びを知りました」と涙ながらに語り、会場の5000人の観客とともに「GO
EP-251207582,財津和夫,35.0,SUCCESS,"SPECULATION,TEMPLATE",,禁止コンテンツを実活動ベースに差し替え,あなたと同じ35歳のとき、財津和夫は喉頭がんという人生最大の試練に直面した。1983年、医師から「声を失う可能性がある」と告げられた時、彼の頭に浮かんだのは「心の旅」を歌う全国のファンの姿だった。手術への恐怖と絶望の中で、彼は病室で無声のまま新しい楽曲を作り続けた。そして奇跡的に声帯を温存できた手術の成功後、リハビリを経て復帰したステージで涙ながらに歌った「心の旅」は、会場の2万人を感動の渦に巻き,あなたと同じ35歳のとき、財津和夫は喉頭がんという大きな試練に直面した。1983年、医師から手術の必要性を告げられた時、彼の頭に浮かんだのは「心の旅」を歌う全国のファンの姿だった。手術への不安と絶望の中で、彼は病室で声を出さずに新しい楽曲を作り続けた。幸い声帯を温存できた手術の成功後、リハビリを経て復帰したステージで涙ながらに歌った「心の旅」は、会場の観客を感動させ、彼自身も音楽への情熱を改めて確
EP-2512071229,スチュアート・バターフィールド,42.0,SUCCESS,"SPECULATION,TEMPLATE",,禁止コンテンツを実活動ベースに差し替え,あなたと同じ42歳のとき、スチュアート・バターフィールドは2度目の事業失敗に直面していた。オンラインゲーム開発で行き詰まった彼は、チーム内のコミュニケーションを改善するために作った小さなツールに希望を見出した。「誰も使わないかもしれない」という不安を抱えながらも、2013年にSlackとしてリリースを決断。わずか4年後、同社の企業価値は70億ドルに達し、世界中の働き方を変革した。失敗から生まれた副,あなたと同じ42歳のとき、スチュアート・バターフィールドは2度目の事業失敗に直面していた。オンラインゲーム「Glitch」の開発で行き詰まった彼は、チーム内のコミュニケーションを改善するために作った社内ツールに希望を見出した。「誰も使わない」という不安を抱えながらも、2013年8月にSlackとして正式リリースを決断。同年内に1万5千チームが利用を開始し、2017年には企業価値70億ドルを達成した
