episode_id,person_id,person_name,text_name,mismatch_type
EP-000145,P52AE294,菅井友香,櫻坂46,name_content_mismatch
EP-000718,PC4106D4,駒場孝,ミルクボーイ,name_content_mismatch
EP-000915,P3760666,堂本光一,KinKi Kids,name_content_mismatch
EP-000926,PE66B8A0,アールエム,BTS,name_content_mismatch
EP-000927,P0D055BE,ジス,BLACKPINK,name_content_mismatch
EP-000931,PF6F6AEC,吉田美和,DREAMS COME TRUE,name_content_mismatch
EP-000937,PB902EE9,ナヨン,TWICE,name_content_mismatch
EP-000948,PB30B3FE,山本彩,NMB48,name_content_mismatch
EP-001338,PFA1A82D,大悟,千鳥,name_content_mismatch
EP-001880,PC40E5B3,YOASOBI（幾田りら）,幾田りら,name_content_mismatch
EP-002026,P809C717,濱田龍臣,濱田龍臉,name_content_mismatch
EP-977319,P394D920,ベートーベン,ベートーヴェン,name_content_mismatch
EP-977375,P1CA7ABC,松本人志,ダウンタウン,name_content_mismatch
EP-977447,P3760666,堂本光一,KinKi Kids,name_content_mismatch
EP-977448,P10DE637,岡田准一,V6,name_content_mismatch
EP-977471,PF6F6AEC,吉田美和,DREAMS COME TRUE,name_content_mismatch
EP-251205562,PC4A4D22,水溜りボンド カンタ,水溜りボンドのカンタ,name_content_mismatch
EP-251205685,P33B365B,きんさんぎんさん（成田きん）,成田きん,name_content_mismatch
EP-251205686,PF61FA8A,きんさんぎんさん（蟹江ぎん）,蟹江ぎん,name_content_mismatch
EP-251205780,PFA1A82D,大悟,千鳥,name_content_mismatch
EP-251201254,P9BAD338,ゆうこりん（小倉優子）,小倉優子さん,name_content_mismatch
EP-251201266,PF61FA8A,きんさんぎんさん（蟹江ぎん）,蟹江ぎん,name_content_mismatch
EP-251201269,P33B365B,きんさんぎんさん（成田きん）,成田きん,name_content_mismatch
EP-251201348,P9BAD338,ゆうこりん（小倉優子）,小倉優子さん,name_content_mismatch
EP-251201360,PF61FA8A,きんさんぎんさん（蟹江ぎん）,蟹江ぎん,name_content_mismatch
EP-251201363,P33B365B,きんさんぎんさん（成田きん）,成田きん,name_content_mismatch
EP-251201404,P412FE98,裕仁（昭和天皇）,昭和天皇,name_content_mismatch
EP-251201421,PC4A4D22,水溜りボンド カンタ,水溜りボンドのカンタ,name_content_mismatch
EP-251201442,P9BAD338,ゆうこりん（小倉優子）,小倉優子,name_content_mismatch
EP-251201454,PF61FA8A,きんさんぎんさん（蟹江ぎん）,蟹江ぎんさん,name_content_mismatch
EP-251201457,P33B365B,きんさんぎんさん（成田きん）,成田きんさん,name_content_mismatch
EP-251201536,P9BAD338,ゆうこりん（小倉優子）,小倉優子さん,name_content_mismatch
EP-251201548,PF61FA8A,きんさんぎんさん（蟹江ぎん）,蟹江ぎん,name_content_mismatch
EP-251201551,P33B365B,きんさんぎんさん（成田きん）,成田きん,name_content_mismatch
EP-251201629,P9BAD338,ゆうこりん（小倉優子）,小倉優子さん,name_content_mismatch
EP-251201641,PF61FA8A,きんさんぎんさん（蟹江ぎん）,蟹江ぎん,name_content_mismatch
EP-251201644,P33B365B,きんさんぎんさん（成田きん）,成田きん,name_content_mismatch
EP-251201722,P9BAD338,ゆうこりん（小倉優子）,小倉優子さん,name_content_mismatch
EP-251201734,PF61FA8A,きんさんぎんさん（蟹江ぎん）,蟹江ぎん,name_content_mismatch
EP-251201737,P33B365B,きんさんぎんさん（成田きん）,成田きん,name_content_mismatch
