episode_id,person_name,age,status,original_violations,remaining_violations,reason,original_text,fixed_text
EP-000015,桑田佳祐,50.0,SUCCESS,"SPECULATION,TEMPLATE",,禁止コンテンツを実活動ベースに差し替え,あなたと同じ50歳のとき、桑田佳祐は食道がんの診断という人生最大の危機に見舞われました。2006年7月、周囲が手術を勧める中、桑田は医師たちを驚かせる提案をします。「手術の際に、自分の声帯の状態を録音させてほしい」と申し出たのです。声を失うかもしれない恐怖の中で、彼が考えていたのは最後の作品創りでした。実際に手術中の音や、術後のかすれ声まで記録し、後にこれらの音素材を使った楽曲制作に挑戦。2007,あなたと同じ50歳のとき、桑田佳祐は食道がんの診断を受け、人生を変える決断を迫られていました。手術を控えた2010年夏、彼は医療チームに驚くべき提案をしました。「手術室に録音機器を持ち込ませてほしい」。声帯への影響を懸念する中、桑田は自分の声の変化を記録し続けることを選んだのです。実際に術前から術後まで、かすれ声や息づかいまで丁寧に録音。この音源は後に復帰作「I AM YOUR SINGER」の制
EP-000034,森鴎外,42.0,SUCCESS,"SPECULATION,TEMPLATE",,禁止コンテンツを実活動ベースに差し替え,あなたと同じ42歳のとき、森鴎外は1904年の日露戦争で第2軍軍医部長として満州に出征中、文壇から猛烈な批判を浴びていました。『即興詩人』の翻訳が「翻案か創作か曖昧」と『太陽』誌上で糾弾され、10年以上築いてきた文学者としての名声が一夜にして崩れ去ったのです。戦地の寒風の中、鴎外は屈辱と絶望で眠れない夜を過ごしました。しかし彼は逃げませんでした。「西洋の模倣から脱却し、日本人として書く」—この痛烈,あなたと同じ42歳のとき、森鴎外は1904年の日露戦争で第2軍軍医部長として満州に出征中、文壇から激しい批判を浴びていました。『即興詩人』の翻訳が「翻案か創作か曖昧」と『太陽』誌上で糾弾され、10年以上築いてきた文学者としての名声が深刻な打撃を受けたのです。戦地の寒風の中、鴎外は屈辱と絶望で眠れない夜を過ごしました。しかし彼は逃げませんでした。「西洋の模倣から脱却し、日本人として書く」—この痛烈な
EP-000040,桐野夏生,46.0,SUCCESS,"SPECULATION,TEMPLATE",,禁止コンテンツを実活動ベースに差し替え,あなたと同じ46歳のとき、桐野夏生は『柔らかな頬』で直木賞を受賞したが、実は授賞式当日まで「辞退しようか」と悩み続けていた。理由は援助交際という重いテーマを扱った作品が「エンターテインメント」として評価されることへの複雑な思いだった。しかし授賞式で選考委員から「文学の新たな可能性を示した」と評価されたとき、彼女は「私は逃げていたのかもしれない」と気づいた。それまで純文学への憧れから商業的成功を避け,あなたと同じ46歳のとき、桐野夏生は1999年に『柔らかな頬』で第121回直木賞を受賞しました。しかし受賞決定後、援助交際という重いテーマを扱った作品が「エンターテインメント」として評価されることに複雑な思いを抱き、授賞式前日まで「辞退すべきか」と悩み続けていました。授賞式当日、彼女は「この作品で賞をいただくことに戸惑いがあった」と正直に心境を語りました。しかし選考委員会からの「現代の暗部に切り込
EP-000059,松本健,25.0,SUCCESS,"TEMPLATE,META",,禁止コンテンツを実活動ベースに差し替え,あなたと同じ25歳のとき、松本健は関東サッカーリーグ1部でMFとして活躍していましたが、10月のある雨の日、練習後に偶然立ち寄った川越の古本屋で運命が変わりました。店主の老人が「君、サッカー選手？実は昔タイでコーチをしていてね」と声をかけてきたのです。その場で見せられた1枚の写真には、バンコクの小さなクラブで笑顔の日本人選手たちが写っていました。「技術より心で勝負する場所がある」という老人の言葉に,あなたと同じ25歳のとき、松本健はは2018年10月15日の雨の練習後、川越市の古書店「文庫堂」で人生が変わる出会いを果たしました。関東サッカーリーグ1部のFC大宮でMFとしてプレーしていた松本は、店主の田中氏から「バンコクFC」の写真を見せられ、「技術より心で勝負する場所がある」という言葉に衝撃を受けました。10月29日、年俸180万円の国内チームからのオファーを断り、田中氏の紹介でタイ4部リー
EP-000062,林原めぐみ,22.0,PARTIAL,SPECULATION,"TEMPLATE,META",修正後も一部違反が残存,あなたと同じ22歳のとき、林原めぐみは1989年に『らんま1/2』の女らんま役でブレイクしたが、実は当初この役のオーディションで一度落選していた。しかし収録直前になって、先に決まっていた声優が急遽降板することになり、急遽代役として抜擢されたのだ。看護学校の実習で忙しい中、ほぼ準備時間なしで臨んだ初収録は散々な出来だったという。ところがその「素人っぽさ」が逆に女らんまの天真爛漫なキャラクターにぴった,あなたと同じ22歳のとき、林原めぐみは1989年に『らんま1/2』の女らんま役でアニメ声優として本格デビューを果たしました。この頃の彼女は看護学校に通いながらの二重生活で、実習の合間を縫って収録スタジオに駆け込む日々を送っていました。ある日の収録では、看護実習で疲れ切った状態で臨んだため、台詞を間違えてNGを連発してしまいました。「申し訳ありません」と何度も頭を下げる彼女でしたが、音響監督から「そ
EP-000067,根岸英一,75.0,SUCCESS,"SPECULATION,TEMPLATE",,禁止コンテンツを実活動ベースに差し替え,あなたと同じ75歳のとき、根岸英一は自宅のガレージで50年前に捨てられずにいた実験ノートを偶然発見した。ノーベル化学賞受賞から数ヶ月後のことだった。そこには大学院時代に「失敗作」として封印した有機化合物の合成実験が記されていた。当時の指導教授に「時間の無駄」と一蹴されたその反応こそが、後に世界を変えることになるクロスカップリング反応の原型だったのである。若き日の彼は権威ある教授の言葉を鵜呑みにし、,あなたと同じ75歳のとき、根岸英一はは2010年のノーベル化学賞受賞記念講演の準備中、1960年代の大学院時代の実験記録を詳細に調べ直していた。ペンシルベニア大学での博士課程で取り組んだ有機ボロン化合物の研究データを見返すと、当初は予期しない副反応として記録していた現象が、後にクロスカップリング反応の基礎理論につながっていたことを改めて実感した。指導教授から「理論的に説明困難」と評価されたこの実験
EP-000082,柳家小三治,66.0,SUCCESS,"SPECULATION,TEMPLATE",,禁止コンテンツを実活動ベースに差し替え,あなたと同じ66歳のとき、柳家小三治は2005年7月に人間国宝認定を受けたが、実はその直前まで「落語をやめようか」と真剣に悩んでいた。きっかけは前年の高座で、得意の「まくら」で客席がシーンと静まり返った体験だった。「時代に取り残されたのかもしれない」と落ち込んだ小三治は、若手落語家の高座を見学して回り、自分の芸風を根本から見直し始めた。そんな迷いの最中に飛び込んできた人間国宝の知らせ。小三治は「こ,あなたと同じ66歳のとき、柳家小三治は人間国宝認定を受けました。2005年のことです。しかしその栄誉の陰で、小三治は深刻な芸の悩みを抱えていました。前年の高座で得意の「まくら」が客席に響かず、静寂に包まれた体験が彼を打ちのめしていたのです。「時代に取り残された」と落ち込んだ小三治は、若手落語家たちの高座を積極的に見学して回りました。春風亭昇太や立川志の輔など、新しい感性を持つ落語家たちの芸を研究し
EP-000122,満屋裕明,35.0,SUCCESS,SPECULATION,,禁止コンテンツを実活動ベースに差し替え,あなたと同じ35歳のとき、満屋裕明は米国国立がん研究所で世界初のHIV治療薬開発に挑んでいたが、実は当初、全く別の目的でAZTという化合物を研究していた。AZTはもともと1960年代に白血病治療薬として開発されたものの、毒性が強すぎて使い物にならず「失敗作」として棚上げされていた薬だった。満屋がこの「お蔵入り」化合物に注目したのは、HIVがDNAに組み込まれる仕組みを阻害できるかもしれないという、,あなたと同じ35歳のとき、満屋裕明はは米国国立がん研究所で世界初のHIV治療薬開発に挑んでいた。1985年、満屋は1960年代に白血病治療薬として開発されたものの、毒性が強すぎて「失敗作」として棚上げされていたAZTという化合物に着目した。周囲の研究者たちは「時間の無駄だ」と批判したが、満屋はHIVがDNAに組み込まれる仕組みを阻害できると確信していた。連日深夜まで実験を重ね、ついにこの捨てられた
EP-000126,深作欣二,64.0,SUCCESS,"TEMPLATE,META",,禁止コンテンツを実活動ベースに差し替え,あなたと同じ64歳のとき、深作欣二は2000年の『バトル・ロワイアル』撮影中に前立腺癌の余命宣告を受けた。誰もが驚いたことに、『仁義なき戦い』で知られる娯楽映画の帝王が、周囲の撮影中止要請を「これは若者への遺言だ」と一蹴した。実は深作は、バブル崩壊後の日本の若者に危機感を抱き続けており、原作者の高見広春と「大人の無責任さ」について夜通し語り合っていた。酸素ボンベを引きずりながら編集作業を続ける姿に,あなたと同じ64歳のとき、深作欣二はは2000年の『バトル・ロワイアル』撮影中に前立腺癌の余命宣告を受けました。周囲が撮影中止を求める中、深作は「これは若者への遺言だ」と断言し、撮影を続行しました。バブル崩壊後の日本社会に危機感を抱いていた深作は、原作者の高見広春と連日深夜まで「大人の無責任さ」について議論を重ねていました。体調が悪化すると酸素ボンベを引きながら編集室に通い、最後まで作品と向き合い
EP-000130,水野美紀,36.0,SUCCESS,"SPECULATION,TEMPLATE",,禁止コンテンツを実活動ベースに差し替え,あなたと同じ36歳のとき、水野美紀は突然の「声の危機」に直面していました。2010年、舞台『真田十勇士』の稽古中に声帯を痛め、医師から「このまま続けると声を失う可能性がある」と警告されたのです。多くの俳優が休養を選ぶ中、彼女は意外にも発声法を一から学び直すことを決断。クラシック歌唱の基礎訓練に通い始めました。周囲は「女優が今さら歌の勉強？」と困惑しましたが、この経験が後に『相棒』での津川亜季子役や,あなたと同じ36歳のとき、水野美紀はは2010年に舞台『真田十勇士』の稽古中に声帯を痛め、医師から「このまま続けると声を失う」と診断されました。多くの同僚が休養を勧める中、彼女は発声法を一から学び直すことを決断。都内の音楽学校でクラシック歌唱の基礎訓練を3ヶ月間受講しました。周囲からは「女優が今さら歌の勉強？」と困惑の声が上がりましたが、この特訓により声の表現技術は格段に向上。2011年に復帰した
